시도명,시군구명,설치 위치,설치년도,수거품목,관리기관명,관리기관전화번호,기준일자
대구광역시,달성군,"대구광역시 달성군 화원읍 화원로 10,영남맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로525길 21,동산맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로525길 2,평광1차현대",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로525길 37,천내평광타운2차",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 화원로 26,천내우방맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로525길 48,천내에덴타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 화원로 36,창신맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 화원로7길 2,보성타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 사문진로6길 17,화원한샘타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 화원로3길 66,화원태왕리더스",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로 2679,한우아파트",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로 2715,청구청룡맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로539길 17,삼우청솔타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로539길 5,청구청산맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로539길 35,대곡역래미안",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로539길 38,신동아파밀리에",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 성화로6길 5,화원대백맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 성화로4길 13,화원태왕타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 사문진로 349,화원삼주타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로491길 13,성화한빛타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 명곡로 11,명곡미래빌1단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 명천로 231,명곡미래빌2단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 명곡로 30,명곡미래빌3단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 화암로 120,명곡미래빌4단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 명천로 243,명곡미래빌5단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로 2674,청구청탑맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 명천로 57,대곡역그린빌",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 성암로 25,달성본리주공2단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로 2594,화원읍행정복지센터",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 논공읍 논공로9길 39,경일아파트",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 논공읍 논공로7길 55,논공삼주아파트",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 논공읍 논공로23길 14,대구논공성원",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 논공읍 논공로7길 73,논공청구타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 논공읍 논공중앙로22길 36,우방연합타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 논공읍 용호로 6,논공평광3차",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 논공읍 남리길 7,논공평광4차",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 매곡로14길 13,다사주공아파트1단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 달구벌대로 842-7,강창훼미리타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 죽곡2길 6,강창태성그린시티",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 달구벌대로 812,강창하이츠",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 왕선로 49,강창동서타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 달구벌대로 790,강창삼산타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 달구벌대로 802-1,강창한서꼼빠니아",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 달구벌대로 770,강창우방타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 달구벌대로 786,강창그린빌",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 달구벌대로 802,태왕드림하이츠",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 매곡로14길 11,다사주공아파트2단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 죽곡1길 42,대실역죽곡e편한세상",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 왕선로 26,하우젠트아너스빌",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 대실역북로1길 6,죽곡휴먼시아1단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 대실역북로 55,대실역동화아이위시",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 대실역북로 38,청아람1단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 대실역북로 26,청아람2단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 다사역로 60,대구다사e편한세상",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 매곡로4길 9,매곡한일유앤아이",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 서재로27길 42,선성서화성파크드림",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 서재로24길 29,대구서재진흥더블파크",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 서재로 120,서재화진금봉타운1차",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 서재로30길 17,서재보성타운1차",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 서재로30길 7,서재보성타운2차",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 서재로28길 39,서재우방타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 서재로12길 41-16,와룡건영캐스빌",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 서재로14길 2,대구서재휴먼시아",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 다사로69길 72-4,이천리마을회관",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 다사로 494,달천리마을회관",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 다사로109길 41,박곡리마을회관",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 세천본길 18-4,세천리마을회관",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 부곡2길 7-1,부곡리마을회관",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 문양1길 252,문양1리마을회관",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 문양2길 81,문양2리마을회관",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 달구벌대로92길 56,문산리마을회관",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 가창면 가창로216길 25,달성용계주공",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 가창면 가창로216길 55,국태모닝포유T",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 가창면 가창로126길 3,대일1리마을회관",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 가창면 흥덕길 24,행정2리 마을회관",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 가창면 가창로57길 65,삼산리마을회관",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 옥포읍 시저로 33,강림2리마을회관",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 현풍읍 현풍동로 23,학산아파트",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 현풍읍 비슬로120길 13,달성현풍주공",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 현풍읍 현풍중앙로14길 85,금성아파트",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 논공읍 남리길 48,논공주공",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 서배본길 25,다사읍행정복지센터서재출장소 ",2012,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 가창면 가창로 1109-8,혜성빌라",2012,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 구지면 응암리 1180,뜨락채",2012,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 구지면 응암리 1214-5,대동하이츠",2012,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 구지면 과학마을로5길 40-6,라온힐조",2012,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 하빈면 하빈로84길 1,하빈면행정복지센터",2012,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 논공읍 논공중앙로22길 12,평광행복타운",2013,폐건전지,달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 달구벌대로 842-7,강창훼밀리아파트",2013,폐건전지,달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 대실역북로 16,죽곡푸르지오1단지",2013,폐건전지,달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 대실역남로 35,죽곡청아람리슈빌4단지",2013,폐건전지,달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 대실역남로 33,대실역리슈빌3단지",2013,폐건전지,달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 대실역남로 93,죽곡푸르지오2단지",2013,폐건전지,달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 가창면 가창로 1018,가창중석타운",2013,폐건전지,달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 옥포읍 교항제림길 10,옥포제림뉴타운",2013,폐건전지,달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 옥포읍 본리로 102,옥포세광무지개마을",2013,폐건전지,달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 옥포읍 비슬로447길 11,달성삼환나우빌",2013,폐건전지,달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 현풍읍 현풍로24길 6,제일맨션",2013,폐건전지,달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 구지면 과학마을로2길 6,달성화성파크드림",2013,폐건전지,달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 화원로 37,보성맨션",2018,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 옥포읍 돌미로 51,옥포LH천년나무2단지",2018,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 현풍읍 테크노상업로 33,테크노폴리스 서한이다음",2018,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 유가읍 테크노북로9길 16,우미린",2018,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 세천로 187,세천한라비발디",2018,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 현풍읍 테크노북로2길 10,테크노폴리스LH천년나무1단지",2018,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 유가읍 테크노대로 195,테크노폴리스 반도유보라",2018,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 유가읍 테크노대로5길 80,테크노폴리스 호반베르디움2차",2018,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 구지면 과학마을로 70,과학마을 청아람",2018,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 세천로 182-10,현대썬앤빌",2018,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 옥포읍 비슬로447길 56,달성미진이지비아",2018,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 현풍읍 테크노북로4길 27,테크노폴리스LH천년나무3단지",2018,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 유가읍 테크노상업로 95,유가읍행정복지센터",2018,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 옥포읍 비슬로 1941,옥포허브시티",2018,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 유가읍 테크노북로9길 42,테크노폴리스 힐데스하임",2019,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 옥포읍 돌미로 70,옥포대성베르힐",2019,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 구지면 과학마을로3길 14,국가산단 반도유보라 아이비파크",2019,폐건전지,달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 세천북로 20,삼정그린코아더베스트2단지",2019,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 세천남로 35,제일풍경채프라임",2019,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 대실역남로 11,죽곡청아람5단지",2019,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 논공읍 비슬로 1779,논공읍행정복지센터",2019,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 현풍읍 비슬로134길 157,현풍읍행정복지센터",2019,폐건전지,달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 현풍읍 테크노북로4길 11,테크노폴리스 남해오네뜨1차",2019,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 현풍읍 테크노대로5길 57,테크노폴리스 남해오네뜨2차",2019,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 다사읍 서재로12길 38,에코폴리스 동화아이위시",2019,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
